distance_cum,altitude,lon,lat
0,996,55.52097,-21.06976
57,992,55.52139,-21.06943
74,991,55.52151,-21.06933
90,990,55.5216,-21.06921
98,989,55.52163,-21.06914
105,989,55.52165,-21.06908
114,989,55.52162,-21.06901
138,989,55.52153,-21.06881
179,989,55.52132,-21.06849
184,989,55.52131,-21.06845
196,990,55.52119,-21.06843
222,988,55.52094,-21.06843
263,988,55.52056,-21.06836
286,986,55.52034,-21.06831
292,982,55.52029,-21.06829
302,982,55.52021,-21.06824
311,978,55.52018,-21.06816
318,978,55.52019,-21.0681
360,977,55.52033,-21.06775
374,974,55.52039,-21.06763
388,974,55.5205,-21.06757
404,975,55.52062,-21.06747
414,973,55.52069,-21.06741
426,977,55.52074,-21.06731
456,968,55.52091,-21.0671
469,965,55.52098,-21.067
504,964,55.52114,-21.06672
531,958,55.52129,-21.06653
559,960,55.52151,-21.06638
567,960,55.52157,-21.06633
642,954,55.52188,-21.06573
658,955,55.52194,-21.06559
672,953,55.52202,-21.06549
682,953,55.52207,-21.06541
697,950,55.52198,-21.06531
824,936,55.52095,-21.06471
839,936,55.52084,-21.06462
877,935,55.52096,-21.0643
945,932,55.52108,-21.06369
974,930,55.52111,-21.06343
1000,930,55.5211,-21.0632
1035,927,55.52101,-21.06289
1041,928,55.52098,-21.06285
1048,928,55.52091,-21.06283
1089,933,55.5206,-21.06261
1134,934,55.52022,-21.0624
1161,936,55.51998,-21.06232
1209,940,55.51954,-21.06244
1229,942,55.51935,-21.06247
1246,943,55.5192,-21.06254
1255,943,55.51913,-21.06259
1270,944,55.51912,-21.06272
1285,946,55.51917,-21.06285
1292,946,55.51922,-21.0629
1317,946,55.51934,-21.06309
1323,948,55.51935,-21.06314
1328,948,55.51934,-21.06319
1341,949,55.51927,-21.06328
1347,950,55.51923,-21.06332
1372,953,55.51904,-21.06346
1396,956,55.51887,-21.06361
1411,957,55.51874,-21.06367
1426,956,55.51863,-21.06375
1500,953,55.5191,-21.06426
1524,951,55.51924,-21.06443
1540,951,55.51933,-21.06455
1564,948,55.51947,-21.06472
1621,941,55.51976,-21.06516
1634,939,55.51982,-21.06526
1678,940,55.51948,-21.0655
1698,941,55.51933,-21.06561
1815,939,55.51838,-21.06617
1836,936,55.51822,-21.06628
1974,952,55.51903,-21.06726
2005,956,55.51921,-21.06749
2043,957,55.51939,-21.06779
2067,959,55.51949,-21.06798
2079,960,55.51949,-21.06809
2085,962,55.51947,-21.06814
2106,963,55.51936,-21.0683
2112,961,55.51933,-21.06835
2147,963,55.51927,-21.06866
2161,962,55.5192,-21.06876
2174,960,55.5191,-21.06884
2197,964,55.51891,-21.06895
2228,967,55.51863,-21.06901
2242,968,55.51849,-21.06899
2260,966,55.51833,-21.06893
2287,968,55.51811,-21.06881
2328,966,55.51787,-21.06851
2347,965,55.51775,-21.06839
2356,965,55.51767,-21.06835
2365,965,55.51759,-21.06832
2413,964,55.51713,-21.06833
2420,969,55.51706,-21.06831
2443,966,55.51687,-21.06822
2475,964,55.51662,-21.06804
2493,963,55.51647,-21.06797
2536,964,55.51607,-21.06785
2544,962,55.516,-21.06786
2558,962,55.51587,-21.0679
2596,965,55.51556,-21.06808
2612,965,55.51542,-21.06814
2634,965,55.51521,-21.06819
2653,964,55.51503,-21.06823
2685,962,55.51476,-21.06835
2717,960,55.51449,-21.0685
2768,959,55.51406,-21.06872
2784,959,55.51395,-21.06882
2797,959,55.51392,-21.06893
2809,958,55.51393,-21.06904
2816,958,55.51396,-21.0691
2843,957,55.51413,-21.06928
2851,956,55.51416,-21.06935
2857,956,55.51415,-21.0694
2861,956,55.51412,-21.06942
2865,954,55.51409,-21.06945
2889,953,55.51387,-21.06949
2903,948,55.51373,-21.06946
2921,944,55.5136,-21.06936
2933,944,55.51355,-21.06926
2949,945,55.51351,-21.06912
2973,941,55.5134,-21.06893
2997,940,55.51325,-21.06877
3035,929,55.51292,-21.06865
3055,930,55.51276,-21.06855
3074,919,55.51266,-21.06841
3118,929,55.51249,-21.06805
3126,929,55.51246,-21.06798
3143,929,55.51244,-21.06783
3151,928,55.51244,-21.06776
3161,927,55.51246,-21.06767
3175,925,55.51254,-21.06756
3224,918,55.513,-21.06751
3255,922,55.51329,-21.06744
3316,923,55.51376,-21.0671
3333,922,55.51389,-21.06702
3349,924,55.514,-21.06691
3362,926,55.51405,-21.0668
3374,929,55.51406,-21.0667
3385,930,55.51402,-21.0666
3410,933,55.51383,-21.06647
3475,937,55.51328,-21.06619
3499,941,55.51309,-21.06607
3517,937,55.51297,-21.06595
3563,938,55.51262,-21.06569
3621,940,55.51227,-21.06528
3652,936,55.51205,-21.0651
3706,941,55.51156,-21.06493
3738,935,55.51132,-21.06475
3785,936,55.5112,-21.06434
3828,936,55.51093,-21.06405
3892,933,55.51044,-21.06369
3932,933,55.5101,-21.06353
3943,933,55.51002,-21.06347
3963,935,55.50986,-21.06336
3994,936,55.50964,-21.06317
4021,935,55.50943,-21.06303
4036,934,55.50929,-21.06299
4050,933,55.50916,-21.06298
4063,932,55.50903,-21.063
4071,931,55.50896,-21.06302
4078,930,55.5089,-21.06304
4134,927,55.50845,-21.06332
4138,927,55.50841,-21.06331
4148,926,55.50837,-21.06323
4179,926,55.50855,-21.063
4198,923,55.50863,-21.06285
4220,920,55.50865,-21.06265
4240,918,55.50864,-21.06247
4276,913,55.50859,-21.06215
4288,912,55.50851,-21.06207
4304,909,55.50837,-21.06203
4319,907,55.50822,-21.06201
4372,901,55.50772,-21.06208
4389,896,55.50757,-21.0621
4414,895,55.50734,-21.06217
4434,893,55.50715,-21.06219
4467,889,55.50691,-21.06199
4481,888,55.50682,-21.0619
4490,887,55.50684,-21.06182
4498,887,55.50686,-21.06175
4511,888,55.50693,-21.06165
4516,888,55.50695,-21.06161
4531,885,55.50694,-21.06148
4541,882,55.5069,-21.0614
4551,882,55.50684,-21.06133
4586,880,55.50653,-21.0612
4605,877,55.50635,-21.06117
4654,868,55.5063,-21.0616
4673,868,55.5063,-21.06177
4685,868,55.50627,-21.06188
4699,863,55.50616,-21.06181
4716,865,55.50607,-21.06168
4731,864,55.50601,-21.06156
4744,863,55.50606,-21.06145
4754,861,55.50608,-21.06136
4774,863,55.506,-21.0612
4795,859,55.50596,-21.06101
4808,863,55.50592,-21.0609
4857,850,55.50573,-21.06051
4874,848,55.50564,-21.06038
4888,843,55.50559,-21.06026
4901,842,55.50557,-21.06014
4924,839,55.5057,-21.05998
4927,841,55.50571,-21.05995
4937,839,55.50562,-21.05995
4944,837,55.50557,-21.06
4965,836,55.5054,-21.06008
4979,834,55.50532,-21.06018
5002,828,55.50529,-21.06039
5012,828,55.50526,-21.06047
5017,828,55.50521,-21.06046
5028,824,55.50512,-21.0604
5055,825,55.50503,-21.06017
5064,822,55.505,-21.06011
5069,822,55.50495,-21.0601
5076,822,55.50491,-21.06015
5088,820,55.50493,-21.06026
5104,818,55.50486,-21.06038
5111,818,55.5048,-21.06035
5124,812,55.50469,-21.06028
5156,810,55.50445,-21.0601
5162,811,55.50441,-21.06007
5172,805,55.50439,-21.05999
5205,801,55.50439,-21.05969
5219,801,55.50436,-21.05957
5236,800,55.50427,-21.05944
5286,793,55.50389,-21.05916
5303,791,55.50379,-21.05905
5309,791,55.50373,-21.05906
5312,791,55.50372,-21.05908
5319,788,55.50376,-21.05913
5330,793,55.50384,-21.0592
5339,788,55.50387,-21.05927
5350,787,55.50393,-21.05936
5356,786,55.50394,-21.05941
5361,786,55.50391,-21.05945
5364,785,55.50389,-21.05947
5373,785,55.50381,-21.05946
5397,779,55.50363,-21.05932
5428,779,55.50342,-21.05912
5454,774,55.50337,-21.0589
5463,774,55.5033,-21.05886
5471,769,55.50327,-21.05893
5485,770,55.50329,-21.05906
5495,770,55.50327,-21.05914
5501,770,55.50321,-21.05916
5513,767,55.5031,-21.05914
5525,772,55.503,-21.05909
5537,767,55.50288,-21.05908
5550,772,55.50276,-21.05906
5557,770,55.5027,-21.05902
5598,768,55.50251,-21.0587
5636,766,55.50229,-21.05842
5666,765,55.50202,-21.05833
5700,762,55.50173,-21.0582
5727,769,55.50155,-21.05802
5758,762,55.50142,-21.05777
5806,758,55.50138,-21.05734
5813,757,55.50137,-21.05728
5818,757,55.50137,-21.05723
5833,756,55.50148,-21.05714
5844,752,55.50153,-21.05706
5849,752,55.50154,-21.05701
5866,746,55.50145,-21.05689
5871,746,55.50142,-21.05685
5901,743,55.50145,-21.05659
5922,741,55.50142,-21.0564
5938,741,55.50141,-21.05626
5972,740,55.50158,-21.056
5984,737,55.50168,-21.05594
5990,737,55.50174,-21.05594
6016,732,55.50197,-21.05602
6026,726,55.50205,-21.05605
6035,724,55.50207,-21.05597
6060,717,55.50202,-21.05575
6083,717,55.50189,-21.05558
6089,711,55.50191,-21.05555
6101,710,55.50201,-21.0555
6121,703,55.50194,-21.05533
6131,699,55.50202,-21.05527
6156,694,55.50224,-21.05528
6172,688,55.50228,-21.05514
6192,685,55.50222,-21.05497
6221,680,55.50222,-21.05472
6235,684,55.50225,-21.0546
6251,671,55.50238,-21.05453
6263,670,55.50243,-21.05443
6274,674,55.50243,-21.05433
6280,669,55.50239,-21.05429
6311,668,55.50209,-21.05427
6350,662,55.50174,-21.05419
6390,661,55.50137,-21.0541
6402,659,55.50126,-21.05405
6425,662,55.5011,-21.05391
6442,662,55.50094,-21.05391
6454,663,55.50084,-21.05396
6463,663,55.50075,-21.05397
6477,664,55.5007,-21.05409
6492,664,55.5007,-21.05422
6510,665,55.50075,-21.05438
6529,667,55.50084,-21.05453
6535,667,55.50084,-21.05458
6562,674,55.50058,-21.05456
6573,676,55.50053,-21.05464
6601,677,55.50062,-21.05488
6616,683,55.50057,-21.05501
6629,685,55.50057,-21.05513
6643,687,55.5006,-21.05525
6659,689,55.50047,-21.05517
6682,695,55.50027,-21.05513
6694,695,55.50018,-21.05506
6698,695,55.50015,-21.05504
6702,695,55.50013,-21.05501
6713,695,55.50012,-21.05491
6735,698,55.50001,-21.05474
6744,700,55.49994,-21.0547
6754,704,55.49984,-21.05469
6759,702,55.4998,-21.05471
6773,707,55.49972,-21.05481
6775,707,55.49971,-21.05483
6779,712,55.49969,-21.05483
6782,712,55.49966,-21.05484
6784,712,55.49965,-21.05482
6797,714,55.49962,-21.05471
6818,716,55.49974,-21.05456
6822,716,55.49974,-21.05452
6840,722,55.49968,-21.05437
6845,722,55.49965,-21.05433
6858,725,55.49962,-21.05422
6865,732,55.4996,-21.05418
6872,729,55.49956,-21.05423
6878,729,55.49954,-21.05428
6890,733,55.49946,-21.05436
6897,733,55.49941,-21.0544
6900,741,55.49938,-21.05439
6920,738,55.49938,-21.05421
6928,739,55.49938,-21.05414
6932,739,55.49934,-21.05414
6953,741,55.49921,-21.05428
6973,746,55.49907,-21.0544
6981,754,55.499,-21.05441
6996,752,55.49885,-21.0544
7002,752,55.49881,-21.05437
7007,755,55.49876,-21.05436
7011,755,55.49874,-21.05439
7016,759,55.49876,-21.05443
7034,759,55.49888,-21.05455
7038,759,55.4989,-21.05458
7046,758,55.49885,-21.05464
7050,758,55.49882,-21.05465
7057,759,55.49875,-21.05464
7065,763,55.49869,-21.05462
7070,763,55.49865,-21.05459
7073,763,55.49863,-21.05459
7079,768,55.49859,-21.05455
7086,768,55.49852,-21.05453
7095,769,55.49847,-21.05447
7106,774,55.49838,-21.05441
7132,777,55.49815,-21.05436
7137,777,55.49811,-21.05434
7148,781,55.498,-21.05433
7156,781,55.49793,-21.05432
7174,780,55.49778,-21.05424
7178,780,55.49774,-21.05423
7202,785,55.49751,-21.05422
7225,792,55.4973,-21.05423
7231,793,55.49725,-21.05426
7243,794,55.49714,-21.05426
7264,795,55.49696,-21.05416
7268,795,55.49692,-21.05416
7271,796,55.4969,-21.05417
7284,798,55.4968,-21.05425
7291,798,55.49674,-21.05427
7294,798,55.49671,-21.05427
7309,799,55.4966,-21.05419
7323,806,55.49648,-21.05415
7339,809,55.49634,-21.05421
7347,811,55.4963,-21.05427
7352,811,55.49625,-21.05426
7355,811,55.49622,-21.05427
7377,819,55.49608,-21.05441
7384,819,55.49601,-21.05443
7413,827,55.49579,-21.05431
7430,828,55.49564,-21.05437
7463,830,55.49542,-21.05416
7473,835,55.49534,-21.0541
7492,841,55.49518,-21.05413
7498,841,55.49512,-21.05412
7502,844,55.49509,-21.0541
7514,840,55.495,-21.05403
7525,843,55.49498,-21.05393
7529,843,55.49496,-21.0539
7535,841,55.49492,-21.05386
7545,843,55.49483,-21.05382
7547,843,55.49482,-21.05381
7552,845,55.49477,-21.05382
7568,846,55.49464,-21.05389
7576,850,55.49458,-21.05394
7580,850,55.49457,-21.05397
7592,851,55.49461,-21.05407
7618,853,55.49479,-21.05424
7621,853,55.49479,-21.05427
7624,853,55.49478,-21.05429
7632,860,55.49472,-21.05432
7655,864,55.4945,-21.05435
7665,864,55.49441,-21.05434
7675,868,55.49432,-21.05431
7716,872,55.49397,-21.05413
7723,872,55.49391,-21.05411
7739,876,55.49377,-21.05413
7750,879,55.49366,-21.05415
7760,882,55.49357,-21.05413
7765,882,55.49352,-21.05413
7786,886,55.49333,-21.0542
7790,886,55.49329,-21.0542
7835,886,55.4929,-21.05404
7840,887,55.49285,-21.05402
7854,888,55.49272,-21.05403
7859,889,55.49267,-21.05404
7889,891,55.49242,-21.05416
7903,892,55.4923,-21.05421
7922,889,55.49212,-21.05419
7930,890,55.49205,-21.05416
7941,892,55.49194,-21.05418
7951,895,55.49186,-21.05422
7956,897,55.49188,-21.05418
7967,895,55.49182,-21.05427
7973,898,55.49177,-21.05428
7984,903,55.49167,-21.05423
7990,903,55.49162,-21.05421
7996,906,55.4916,-21.05417
8004,906,55.49155,-21.05412
8016,913,55.49144,-21.05407
8027,920,55.49137,-21.05406
8031,920,55.49133,-21.05406
8042,923,55.49123,-21.05409
8051,929,55.49116,-21.05414
8059,929,55.4911,-21.0541
8061,932,55.49108,-21.05411
8065,932,55.49107,-21.05414
8074,936,55.49108,-21.0542
8077,936,55.49106,-21.05422
8082,932,55.49103,-21.05419
8094,942,55.49092,-21.05416
8105,942,55.49083,-21.0541
8118,947,55.49071,-21.05407
8131,955,55.49064,-21.05401
8145,951,55.49052,-21.05396
8147,956,55.4905,-21.05397
8149,956,55.49048,-21.05397
8162,960,55.49037,-21.05393
8164,960,55.49035,-21.05393
8165,960,55.49034,-21.05394
8168,960,55.49035,-21.05396
8178,973,55.49039,-21.05401
8182,967,55.4904,-21.05404
8186,973,55.49036,-21.05403
8194,973,55.49031,-21.05408
8201,971,55.49024,-21.05408
8208,973,55.49017,-21.05409
8229,973,55.49,-21.05399
8236,977,55.48994,-21.05396
8254,982,55.48977,-21.05397
8258,982,55.48973,-21.05396
8260,982,55.48971,-21.05395
8271,978,55.48968,-21.05386
8277,978,55.48963,-21.05384
8291,983,55.48949,-21.05382
8299,983,55.48942,-21.05385
8306,985,55.48936,-21.05384
8317,982,55.48926,-21.05388
8325,982,55.48918,-21.0539
8344,983,55.48901,-21.05384
8356,997,55.48891,-21.05383
8365,1001,55.48883,-21.05385
8380,1004,55.48869,-21.05385
8388,1004,55.48861,-21.05386
8400,994,55.48851,-21.05391
8408,998,55.48843,-21.05393
8416,999,55.48836,-21.05392
8425,1002,55.48828,-21.05388
8434,997,55.4882,-21.05387
8452,1001,55.48805,-21.05396
8462,999,55.48796,-21.05398
8479,1010,55.48782,-21.05407
8505,1014,55.4876,-21.05416
8527,1010,55.48743,-21.05427
8539,1013,55.48732,-21.0543
8551,1011,55.4872,-21.05428
8555,1008,55.48716,-21.05428
8562,1011,55.48711,-21.05424
8565,1003,55.48709,-21.05423
8590,1006,55.48685,-21.05428
8592,1006,55.48683,-21.05429
8595,1006,55.48681,-21.05427
8605,1018,55.48672,-21.05427
8614,1022,55.48663,-21.05428
8620,1014,55.48658,-21.05427
8622,1020,55.48656,-21.05426
8633,1017,55.48655,-21.05416
8635,1017,55.48656,-21.05417
8644,1015,55.48651,-21.0541
8649,1011,55.48651,-21.05405
8660,1010,55.48659,-21.05399
8663,1008,55.48661,-21.05397
8679,1008,55.48665,-21.05383
8688,1007,55.48662,-21.05376
8711,1010,55.48644,-21.05363
8717,1007,55.4864,-21.05359
8731,1009,55.48634,-21.05348
